"id","name","description","unit","valueType","length","defaultValue","min","max","needReboot","category","writable","volatile","submodule"
20498,"EMULATE_TOUCH_SLIDE","Emulate touch panel slide event, [startX(2bytes), startY(2bytes), endX(2bytes), endY(2bytes)]","-","uint64",8,"0","0","18446744073709552000",0,"BP",1,1,"DEFAULT"
20497,"APP_CUR_SCR_ID","Get current active screen ID.","-","uint8",1,"0","0","255",0,"BP",0,0,"DEFAULT"
20496,"EMULATE_TOUCH_TAP","Emulate touch panel tap event, MSB 2 bytes for x, LSB 2 bytes for y.","-","uint32",4,"0","0","4294967295",0,"BP",1,1,"DEFAULT"
20495,"APP_TEST_ITEM","APP_TEST_ITEM","-","uint8",1,"0","0","255",0,"BMS",1,0,"HW_TEST"
20494,"MC_DEFAULT_BEEP","BEEP_OF_MOTOR","-","uint8",1,"0","0","255",0,"MC",1,0,"DEFAULT"
20493,"APP_TEST_GET_TIME","APP_TEST_GET_TIME","-","uint32",4,"0","0","4294967295",0,"BMS",0,0,"HW_TEST"
20492,"APP_TEST_EN","APP_TEST_EN","-","uint8",1,"0","0","1",0,"BMS",1,0,"HW_TEST"
20491,"BMS_CHK_SWD","Check SWD IO","-","uint8",1,"0","0","255",0,"BMS",1,0,"HW_TEST"
20490,"BMS_FLASH_WRP","BMS Flash WRP Register ","-","uint32",4,"0","0","4294967295",0,"BMS",0,0,"DEFAULT"
20489,"BMS_FLASH_OB","BMS Flash OB  Register","-","uint32",4,"0","0","4294967295",0,"BMS",0,0,"DEFAULT"
20488,"BMS_FLASH_CTRL","BMS Flash Ctrl Register","-","uint32",4,"0","0","4294967295",0,"BMS",0,0,"DEFAULT"
20487,"PMU_CHG_MSG","PMU_CHG_MSG","-","uint8",1,"0","0","255",0,"PMU",0,0,"DEFAULT"
20486,"MC_spdFlag","burn-in test start flag","-","uint8",1,"0","0","1",0,"MC",1,1,"MAIN"
20485,"MC_ratedSpeed","burn-in test rated speed","-","int16",2,"0","-32767","32767",0,"MC",1,1,"MAIN"
20484,"BMS_LongPressFlag","BMS_LongPressFlag","-","uint8",1,"0","0","1",0,"BMS",1,0,"MAIN"
20483,"MC_DEFAULT_VIBRATE","CONTROL_MOTOR_BEE_AND_SHAK","-","uint8",1,"0","0","255",0,"MC",1,0,"DEFAULT"
20482,"MC_HW_TEST_PE3_INPUT","MC_HW_TEST_PE3_INPUT","-","uint8",1,"0","0","1",0,"MC",0,0,"HW_TEST"
20481,"MC_HW_TEST_PF4_INPUT","MC_HW_TEST_PF4_INPUT","-","uint8",1,"0","0","1",0,"MC",0,0,"HW_TEST"
20480,"MC_HW_TEST_FAN_OUT","MC_HW_TEST_FAN_OUT","%","uint8",1,"0","0","100",0,"MC",1,1,"HW_TEST"
20479,"MC_HW_TEST_BR_OPEN_TIME","bleeder resistance opening time","ms","uint16",2,"10","0","65535",0,"MC",1,1,"HW_TEST"
20478,"MC_HW_TEST_BR_EN","The bleeder resistor is enabled","-","uint8",1,"0","0","1",0,"MC",1,1,"HW_TEST"
20477,"MC_HW_TEST_MODE","Hardware test mode switch","-","uint8",1,"0","0","255",0,"MC",1,1,"HW_TEST"
20476,"PMU_ERR_VALUE","PMU_ERR_VALUE","-","uint16",2,"0","0","65535",0,"PMU",0,0,"DEFAULT"
20475,"PMU_CHG_FULL_CNT","PMU_CHG_FULL_CNT","-","uint16",2,"0","0","65535",0,"PMU",0,0,"DEFAULT"
20474,"CHGR_OFF","CHGR_OFF","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20473,"AGING_TEST_SWITCH","AGING_TEST_SWITCH","-","uint8",1,"1","0","1",0,"PMU",1,0,"DEFAULT"
20472,"CHG_SPECIFIC_PWR","PD Charging safety factor","%","uint8",1,"80","0","100",0,"PMU",1,0,"DEFAULT"
20471,"HAl_CHGR_MODE","PI Control mode","-","uint8",1,"1","0","1",0,"PMU",1,0,"DEFAULT"
20470,"MC_PWM_DUTY_W","Adjust the PWM timer comparison value","-","uint16",2,"3750","0","7500",0,"MC",1,1,"DEFAULT"
20469,"MC_PWM_DUTY_V","Adjust the PWM timer comparison value","-","uint16",2,"3750","0","7500",0,"MC",1,1,"DEFAULT"
20468,"MC_PWM_DUTY_U","Adjust the PWM timer comparison value","-","uint16",2,"3750","0","7500",0,"MC",1,1,"DEFAULT"
20467,"Fan_Of_Motor","Fan_Control","-","uint8",1,"0","0","255",0,"MC",1,0,"DEFAULT"
